Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
PhD,Psychology,Machine Learning,Google Data Analytics,93,ML Engineer,PhD Psychology Machine Learning Google Data Analytics
Intermediate,Finance,MS Office,CFA Level 1,94,ML Engineer,Intermediate Finance MS Office CFA Level 1
Matric,Engineering,Data Analysis,Mental Health Basics,92,Software Engineer,Matric Engineering Data Analysis Mental Health Basics
Master's,Computer Science,SQL,Google Data Analytics,74,Research Scientist,Master's Computer Science SQL Google Data Analytics
PhD,Computer Science,Python,,90,Research Scientist,
Bachelor's,Science,"Python, Counseling",,82,Research Scientist,
Master's,Computer Science,"Communication, Data Analysis, Accounting",,93,Research Scientist,
Intermediate,Psychology,"Communication, MS Office, SQL",CFA Level 1,68,ML Engineer,"Intermediate Psychology Communication, MS Office, SQL CFA Level 1"
Bachelor's,Business,"Python, Financial Analysis, MS Office",AWS Certified,62,Business Analyst,"Bachelor's Business Python, Financial Analysis, MS Office AWS Certified"
Matric,Business,Data Analysis,Google Data Analytics,63,Business Analyst,Matric Business Data Analysis Google Data Analytics
PhD,Arts,Accounting,AWS Certified,85,Business Analyst,PhD Arts Accounting AWS Certified
Matric,Finance,"Data Analysis, Marketing, Machine Learning",CFA Level 1,79,Software Engineer,"Matric Finance Data Analysis, Marketing, Machine Learning CFA Level 1"
Intermediate,Science,"Python, Data Analysis",Google Data Analytics,83,Research Scientist,"Intermediate Science Python, Data Analysis Google Data Analytics"
Bachelor's,Business,"Data Analysis, Python, Accounting",AWS Certified,93,ML Engineer,"Bachelor's Business Data Analysis, Python, Accounting AWS Certified"
Master's,Psychology,"Python, Financial Analysis",CFA Level 1,67,Software Engineer,"Master's Psychology Python, Financial Analysis CFA Level 1"
Matric,Psychology,"Marketing, Data Analysis",Tally ERP,91,Software Engineer,"Matric Psychology Marketing, Data Analysis Tally ERP"
Intermediate,Business,"SQL, Machine Learning",Mental Health Basics,81,Software Engineer,"Intermediate Business SQL, Machine Learning Mental Health Basics"
Matric,Finance,"Data Analysis, Counseling, SQL",Tally ERP,90,Software Engineer,"Matric Finance Data Analysis, Counseling, SQL Tally ERP"
Intermediate,Computer Science,"Accounting, Communication",Tally ERP,64,ML Engineer,"Intermediate Computer Science Accounting, Communication Tally ERP"
Bachelor's,Arts,Accounting,Digital Marketing,65,Software Engineer,Bachelor's Arts Accounting Digital Marketing
Matric,Engineering,"Communication, Counseling",CFA Level 1,93,Business Analyst,"Matric Engineering Communication, Counseling CFA Level 1"
Bachelor's,Science,"Counseling, Marketing, Python",Digital Marketing,84,Research Scientist,"Bachelor's Science Counseling, Marketing, Python Digital Marketing"
PhD,Finance,"Communication, Python, Counseling",AWS Certified,75,Software Engineer,"PhD Finance Communication, Python, Counseling AWS Certified"
Matric,Commerce,"Communication, Financial Analysis, SQL",CFA Level 1,64,Business Analyst,"Matric Commerce Communication, Financial Analysis, SQL CFA Level 1"
Bachelor's,Psychology,"Communication, Python",,91,Software Engineer,
Matric,Engineering,"Financial Analysis, Machine Learning",CFA Level 1,66,Software Engineer,"Matric Engineering Financial Analysis, Machine Learning CFA Level 1"
Intermediate,Science,"Accounting, Python, Counseling",,67,ML Engineer,
Bachelor's,Business,"Counseling, Data Analysis, SQL",Creative Writing,75,Business Analyst,"Bachelor's Business Counseling, Data Analysis, SQL Creative Writing"
Master's,Computer Science,"Python, Data Analysis",Digital Marketing,84,Research Scientist,"Master's Computer Science Python, Data Analysis Digital Marketing"
Master's,Science,Marketing,Mental Health Basics,74,Business Analyst,Master's Science Marketing Mental Health Basics
Master's,Computer Science,Marketing,Creative Writing,89,Business Analyst,Master's Computer Science Marketing Creative Writing
Bachelor's,Psychology,"Financial Analysis, Communication",AWS Certified,84,Software Engineer,"Bachelor's Psychology Financial Analysis, Communication AWS Certified"
Intermediate,Arts,Python,,91,Business Analyst,
Master's,Psychology,Financial Analysis,Google Data Analytics,83,ML Engineer,Master's Psychology Financial Analysis Google Data Analytics
Master's,Computer Science,"Counseling, Machine Learning, Python",Google Data Analytics,66,Business Analyst,"Master's Computer Science Counseling, Machine Learning, Python Google Data Analytics"
Master's,Computer Science,"MS Office, SQL, Accounting",AWS Certified,82,Research Scientist,"Master's Computer Science MS Office, SQL, Accounting AWS Certified"
Master's,Business,"Counseling, Machine Learning, Python",Digital Marketing,90,ML Engineer,"Master's Business Counseling, Machine Learning, Python Digital Marketing"
PhD,Commerce,"SQL, Machine Learning, Financial Analysis",Creative Writing,89,ML Engineer,"PhD Commerce SQL, Machine Learning, Financial Analysis Creative Writing"
Master's,Computer Science,"Communication, Python",CFA Level 1,78,ML Engineer,"Master's Computer Science Communication, Python CFA Level 1"
Bachelor's,Engineering,Machine Learning,Mental Health Basics,84,ML Engineer,Bachelor's Engineering Machine Learning Mental Health Basics
Intermediate,Psychology,"Counseling, Communication",CFA Level 1,76,Software Engineer,"Intermediate Psychology Counseling, Communication CFA Level 1"
Matric,Psychology,"Communication, Counseling, Machine Learning",Digital Marketing,68,Research Scientist,"Matric Psychology Communication, Counseling, Machine Learning Digital Marketing"
PhD,Computer Science,SQL,Tally ERP,91,ML Engineer,PhD Computer Science SQL Tally ERP
Master's,Engineering,Data Analysis,Tally ERP,67,Software Engineer,Master's Engineering Data Analysis Tally ERP
Master's,Business,"Counseling, Financial Analysis, Data Analysis",Creative Writing,69,ML Engineer,"Master's Business Counseling, Financial Analysis, Data Analysis Creative Writing"
Matric,Computer Science,"Data Analysis, Python",Creative Writing,88,ML Engineer,"Matric Computer Science Data Analysis, Python Creative Writing"
Matric,Arts,SQL,Google Data Analytics,66,ML Engineer,Matric Arts SQL Google Data Analytics
Matric,Computer Science,"Financial Analysis, SQL",Mental Health Basics,87,Software Engineer,"Matric Computer Science Financial Analysis, SQL Mental Health Basics"
Master's,Science,"Communication, Marketing",,78,Research Scientist,
Intermediate,Computer Science,"Financial Analysis, Machine Learning, MS Office",CFA Level 1,67,Business Analyst,"Intermediate Computer Science Financial Analysis, Machine Learning, MS Office CFA Level 1"
Bachelor's,Business,"Counseling, SQL, Machine Learning",Mental Health Basics,83,ML Engineer,"Bachelor's Business Counseling, SQL, Machine Learning Mental Health Basics"
Intermediate,Psychology,"Accounting, Machine Learning, Python",Creative Writing,80,Software Engineer,"Intermediate Psychology Accounting, Machine Learning, Python Creative Writing"
Intermediate,Business,"Data Analysis, MS Office",Mental Health Basics,68,Research Scientist,"Intermediate Business Data Analysis, MS Office Mental Health Basics"
Matric,Commerce,Marketing,Creative Writing,60,Software Engineer,Matric Commerce Marketing Creative Writing
Master's,Commerce,Data Analysis,Mental Health Basics,73,ML Engineer,Master's Commerce Data Analysis Mental Health Basics
Matric,Arts,"Communication, SQL, Financial Analysis",Mental Health Basics,70,Software Engineer,"Matric Arts Communication, SQL, Financial Analysis Mental Health Basics"
Intermediate,Engineering,"Financial Analysis, Marketing",Creative Writing,69,Research Scientist,"Intermediate Engineering Financial Analysis, Marketing Creative Writing"
Intermediate,Business,Accounting,AWS Certified,76,Software Engineer,Intermediate Business Accounting AWS Certified
Intermediate,Science,"MS Office, SQL",CFA Level 1,71,ML Engineer,"Intermediate Science MS Office, SQL CFA Level 1"
Intermediate,Psychology,"Accounting, Python",Google Data Analytics,75,Software Engineer,"Intermediate Psychology Accounting, Python Google Data Analytics"
PhD,Business,"Financial Analysis, Python, Communication",Tally ERP,74,Business Analyst,"PhD Business Financial Analysis, Python, Communication Tally ERP"
PhD,Arts,"Communication, MS Office",,82,Research Scientist,
Intermediate,Engineering,"Counseling, SQL, Accounting",Digital Marketing,80,Software Engineer,"Intermediate Engineering Counseling, SQL, Accounting Digital Marketing"
Intermediate,Arts,"Accounting, MS Office, Counseling",Digital Marketing,65,Business Analyst,"Intermediate Arts Accounting, MS Office, Counseling Digital Marketing"
Intermediate,Science,"Machine Learning, Data Analysis, Communication",,83,Research Scientist,
Bachelor's,Computer Science,"SQL, Counseling, MS Office",Google Data Analytics,93,Research Scientist,"Bachelor's Computer Science SQL, Counseling, MS Office Google Data Analytics"
Master's,Business,"Counseling, Financial Analysis",Google Data Analytics,87,Research Scientist,"Master's Business Counseling, Financial Analysis Google Data Analytics"
Master's,Computer Science,Python,AWS Certified,74,Software Engineer,Master's Computer Science Python AWS Certified
Bachelor's,Business,Python,Google Data Analytics,91,ML Engineer,Bachelor's Business Python Google Data Analytics
Bachelor's,Business,"Data Analysis, MS Office, SQL",Digital Marketing,71,ML Engineer,"Bachelor's Business Data Analysis, MS Office, SQL Digital Marketing"
Matric,Business,"Communication, MS Office",Google Data Analytics,69,Research Scientist,"Matric Business Communication, MS Office Google Data Analytics"
Intermediate,Finance,"Marketing, Accounting, Communication",CFA Level 1,66,Software Engineer,"Intermediate Finance Marketing, Accounting, Communication CFA Level 1"
Master's,Commerce,"Counseling, SQL",Tally ERP,65,ML Engineer,"Master's Commerce Counseling, SQL Tally ERP"
Matric,Commerce,Python,Creative Writing,64,Software Engineer,Matric Commerce Python Creative Writing
Bachelor's,Psychology,"Marketing, Accounting",,70,Research Scientist,
PhD,Science,"SQL, Machine Learning",Creative Writing,90,Business Analyst,"PhD Science SQL, Machine Learning Creative Writing"
Matric,Commerce,"Machine Learning, Counseling",AWS Certified,80,ML Engineer,"Matric Commerce Machine Learning, Counseling AWS Certified"
Bachelor's,Finance,"Financial Analysis, Accounting, Marketing",Mental Health Basics,93,Research Scientist,"Bachelor's Finance Financial Analysis, Accounting, Marketing Mental Health Basics"
Intermediate,Engineering,Communication,Creative Writing,84,Research Scientist,Intermediate Engineering Communication Creative Writing
Bachelor's,Finance,"Financial Analysis, MS Office",AWS Certified,71,Research Scientist,"Bachelor's Finance Financial Analysis, MS Office AWS Certified"
Intermediate,Computer Science,"Data Analysis, Marketing",Digital Marketing,88,Software Engineer,"Intermediate Computer Science Data Analysis, Marketing Digital Marketing"
PhD,Business,Counseling,Digital Marketing,72,Business Analyst,PhD Business Counseling Digital Marketing
Intermediate,Computer Science,"Data Analysis, Marketing, SQL",Google Data Analytics,72,ML Engineer,"Intermediate Computer Science Data Analysis, Marketing, SQL Google Data Analytics"
Bachelor's,Finance,Counseling,Creative Writing,65,ML Engineer,Bachelor's Finance Counseling Creative Writing
PhD,Psychology,Python,,62,ML Engineer,
Master's,Computer Science,SQL,Mental Health Basics,87,Software Engineer,Master's Computer Science SQL Mental Health Basics
PhD,Arts,"Communication, MS Office, Machine Learning",,73,Software Engineer,
PhD,Computer Science,Marketing,AWS Certified,73,Business Analyst,PhD Computer Science Marketing AWS Certified
Intermediate,Business,Counseling,Mental Health Basics,62,ML Engineer,Intermediate Business Counseling Mental Health Basics
PhD,Arts,"Communication, MS Office, Counseling",Digital Marketing,64,ML Engineer,"PhD Arts Communication, MS Office, Counseling Digital Marketing"
Matric,Business,Marketing,,86,Business Analyst,
PhD,Finance,"Counseling, MS Office, Accounting",Creative Writing,60,Software Engineer,"PhD Finance Counseling, MS Office, Accounting Creative Writing"
Matric,Science,SQL,Google Data Analytics,60,Research Scientist,Matric Science SQL Google Data Analytics
PhD,Finance,"MS Office, Machine Learning, Counseling",Tally ERP,72,ML Engineer,"PhD Finance MS Office, Machine Learning, Counseling Tally ERP"
Matric,Psychology,"Financial Analysis, SQL, Counseling",Tally ERP,65,ML Engineer,"Matric Psychology Financial Analysis, SQL, Counseling Tally ERP"
Matric,Psychology,"Data Analysis, Machine Learning",Google Data Analytics,65,Research Scientist,"Matric Psychology Data Analysis, Machine Learning Google Data Analytics"
Matric,Computer Science,"Python, Financial Analysis, MS Office",Google Data Analytics,73,Business Analyst,"Matric Computer Science Python, Financial Analysis, MS Office Google Data Analytics"
Intermediate,Commerce,SQL,Creative Writing,87,ML Engineer,Intermediate Commerce SQL Creative Writing
Bachelor's,Commerce,"Machine Learning, Financial Analysis",Creative Writing,73,ML Engineer,"Bachelor's Commerce Machine Learning, Financial Analysis Creative Writing"
Matric,Psychology,"Machine Learning, Financial Analysis",Google Data Analytics,65,ML Engineer,"Matric Psychology Machine Learning, Financial Analysis Google Data Analytics"
Intermediate,Finance,"Marketing, Data Analysis",Mental Health Basics,69,Business Analyst,"Intermediate Finance Marketing, Data Analysis Mental Health Basics"
Intermediate,Finance,"SQL, Communication",CFA Level 1,77,Research Scientist,"Intermediate Finance SQL, Communication CFA Level 1"
Intermediate,Engineering,"MS Office, Communication",Digital Marketing,66,Research Scientist,"Intermediate Engineering MS Office, Communication Digital Marketing"
Matric,Engineering,"Counseling, Communication, Data Analysis",Mental Health Basics,88,Research Scientist,"Matric Engineering Counseling, Communication, Data Analysis Mental Health Basics"
Intermediate,Science,"Counseling, Machine Learning, Financial Analysis",Digital Marketing,71,Business Analyst,"Intermediate Science Counseling, Machine Learning, Financial Analysis Digital Marketing"
Matric,Engineering,"Data Analysis, MS Office",Google Data Analytics,68,Software Engineer,"Matric Engineering Data Analysis, MS Office Google Data Analytics"
Master's,Psychology,Communication,Tally ERP,87,ML Engineer,Master's Psychology Communication Tally ERP
Intermediate,Psychology,SQL,Google Data Analytics,90,ML Engineer,Intermediate Psychology SQL Google Data Analytics
PhD,Psychology,"Marketing, Python",AWS Certified,83,ML Engineer,"PhD Psychology Marketing, Python AWS Certified"
Bachelor's,Psychology,"Counseling, Accounting, SQL",Google Data Analytics,95,Research Scientist,"Bachelor's Psychology Counseling, Accounting, SQL Google Data Analytics"
Master's,Commerce,Python,Tally ERP,85,Business Analyst,Master's Commerce Python Tally ERP
Bachelor's,Engineering,"Python, Counseling",,60,Research Scientist,
Matric,Finance,"MS Office, Accounting",Digital Marketing,75,Research Scientist,"Matric Finance MS Office, Accounting Digital Marketing"
Master's,Commerce,"Python, SQL",Creative Writing,83,Business Analyst,"Master's Commerce Python, SQL Creative Writing"
Intermediate,Arts,"Data Analysis, Python, Counseling",AWS Certified,89,Software Engineer,"Intermediate Arts Data Analysis, Python, Counseling AWS Certified"
Intermediate,Engineering,"Communication, Machine Learning, Python",Digital Marketing,95,Software Engineer,"Intermediate Engineering Communication, Machine Learning, Python Digital Marketing"
Master's,Commerce,"Accounting, MS Office",Digital Marketing,82,Business Analyst,"Master's Commerce Accounting, MS Office Digital Marketing"
Intermediate,Commerce,Data Analysis,,74,Research Scientist,
Master's,Engineering,"Counseling, Data Analysis",Google Data Analytics,87,Software Engineer,"Master's Engineering Counseling, Data Analysis Google Data Analytics"
Intermediate,Commerce,"Communication, MS Office",Creative Writing,71,Business Analyst,"Intermediate Commerce Communication, MS Office Creative Writing"
Matric,Commerce,Machine Learning,AWS Certified,81,Business Analyst,Matric Commerce Machine Learning AWS Certified
Matric,Business,"Accounting, Machine Learning",,91,Business Analyst,
Master's,Psychology,"Machine Learning, MS Office",,71,Research Scientist,
Intermediate,Arts,Accounting,Mental Health Basics,86,ML Engineer,Intermediate Arts Accounting Mental Health Basics
Matric,Computer Science,"Counseling, Marketing, Machine Learning",Tally ERP,77,Business Analyst,"Matric Computer Science Counseling, Marketing, Machine Learning Tally ERP"
Matric,Commerce,"Financial Analysis, Marketing",Tally ERP,73,ML Engineer,"Matric Commerce Financial Analysis, Marketing Tally ERP"
Matric,Business,"Python, Accounting",Creative Writing,62,ML Engineer,"Matric Business Python, Accounting Creative Writing"
Intermediate,Computer Science,"Data Analysis, Communication",Digital Marketing,62,Business Analyst,"Intermediate Computer Science Data Analysis, Communication Digital Marketing"
Bachelor's,Computer Science,"Machine Learning, Communication",AWS Certified,60,Research Scientist,"Bachelor's Computer Science Machine Learning, Communication AWS Certified"
Bachelor's,Business,"Machine Learning, Marketing",Google Data Analytics,63,Business Analyst,"Bachelor's Business Machine Learning, Marketing Google Data Analytics"
Bachelor's,Commerce,"Machine Learning, MS Office, Marketing",CFA Level 1,64,ML Engineer,"Bachelor's Commerce Machine Learning, MS Office, Marketing CFA Level 1"
PhD,Computer Science,"Financial Analysis, SQL, Accounting",Mental Health Basics,94,Research Scientist,"PhD Computer Science Financial Analysis, SQL, Accounting Mental Health Basics"
Bachelor's,Psychology,"Python, Marketing, Data Analysis",Google Data Analytics,60,Business Analyst,"Bachelor's Psychology Python, Marketing, Data Analysis Google Data Analytics"
Bachelor's,Science,"Counseling, Data Analysis, Communication",Digital Marketing,92,Business Analyst,"Bachelor's Science Counseling, Data Analysis, Communication Digital Marketing"
Matric,Business,"Accounting, Data Analysis",Tally ERP,66,Business Analyst,"Matric Business Accounting, Data Analysis Tally ERP"
Master's,Arts,Marketing,Mental Health Basics,81,Research Scientist,Master's Arts Marketing Mental Health Basics
Master's,Finance,"Data Analysis, Marketing, Accounting",AWS Certified,76,Business Analyst,"Master's Finance Data Analysis, Marketing, Accounting AWS Certified"
Matric,Computer Science,"Data Analysis, MS Office",Google Data Analytics,94,Research Scientist,"Matric Computer Science Data Analysis, MS Office Google Data Analytics"
PhD,Psychology,Marketing,AWS Certified,91,Software Engineer,PhD Psychology Marketing AWS Certified
Master's,Engineering,SQL,,82,ML Engineer,
Intermediate,Psychology,"Counseling, Data Analysis, Communication",Creative Writing,77,ML Engineer,"Intermediate Psychology Counseling, Data Analysis, Communication Creative Writing"
Master's,Engineering,"Financial Analysis, Python, Machine Learning",Tally ERP,81,Research Scientist,"Master's Engineering Financial Analysis, Python, Machine Learning Tally ERP"
Matric,Business,"Data Analysis, Accounting",AWS Certified,86,Software Engineer,"Matric Business Data Analysis, Accounting AWS Certified"
Master's,Finance,"Marketing, Accounting, Financial Analysis",Creative Writing,64,Software Engineer,"Master's Finance Marketing, Accounting, Financial Analysis Creative Writing"
Intermediate,Psychology,"Data Analysis, Python",AWS Certified,79,ML Engineer,"Intermediate Psychology Data Analysis, Python AWS Certified"
PhD,Engineering,"Marketing, Communication",Mental Health Basics,76,Research Scientist,"PhD Engineering Marketing, Communication Mental Health Basics"
Matric,Engineering,"SQL, Communication",Google Data Analytics,76,Software Engineer,"Matric Engineering SQL, Communication Google Data Analytics"
Master's,Science,"Accounting, Data Analysis, MS Office",Digital Marketing,68,Research Scientist,"Master's Science Accounting, Data Analysis, MS Office Digital Marketing"
Matric,Finance,"Python, Communication, Data Analysis",AWS Certified,65,Software Engineer,"Matric Finance Python, Communication, Data Analysis AWS Certified"
PhD,Business,MS Office,Digital Marketing,94,Software Engineer,PhD Business MS Office Digital Marketing
Bachelor's,Psychology,"Machine Learning, Marketing",Creative Writing,95,ML Engineer,"Bachelor's Psychology Machine Learning, Marketing Creative Writing"
Master's,Science,Financial Analysis,AWS Certified,82,Research Scientist,Master's Science Financial Analysis AWS Certified
Matric,Arts,"Machine Learning, Marketing",,75,Business Analyst,
Intermediate,Psychology,"Counseling, Machine Learning",AWS Certified,61,Business Analyst,"Intermediate Psychology Counseling, Machine Learning AWS Certified"
Master's,Business,"Accounting, Communication",Creative Writing,66,ML Engineer,"Master's Business Accounting, Communication Creative Writing"
Intermediate,Arts,MS Office,AWS Certified,79,Research Scientist,Intermediate Arts MS Office AWS Certified
Bachelor's,Commerce,"Communication, MS Office, SQL",CFA Level 1,89,Software Engineer,"Bachelor's Commerce Communication, MS Office, SQL CFA Level 1"
PhD,Business,"Marketing, Data Analysis, Counseling",,95,Business Analyst,
Intermediate,Psychology,Accounting,CFA Level 1,78,ML Engineer,Intermediate Psychology Accounting CFA Level 1
Intermediate,Science,Accounting,,90,Business Analyst,
Bachelor's,Engineering,Financial Analysis,Tally ERP,93,Business Analyst,Bachelor's Engineering Financial Analysis Tally ERP
Matric,Science,"Marketing, Machine Learning",Digital Marketing,85,Software Engineer,"Matric Science Marketing, Machine Learning Digital Marketing"
Intermediate,Finance,Python,Google Data Analytics,85,Software Engineer,Intermediate Finance Python Google Data Analytics
Master's,Finance,"Data Analysis, Machine Learning, Python",Tally ERP,75,Business Analyst,"Master's Finance Data Analysis, Machine Learning, Python Tally ERP"
PhD,Finance,Machine Learning,,64,ML Engineer,
Master's,Science,"Accounting, MS Office, Data Analysis",AWS Certified,60,Research Scientist,"Master's Science Accounting, MS Office, Data Analysis AWS Certified"
Bachelor's,Science,"MS Office, Counseling, Communication",Mental Health Basics,88,ML Engineer,"Bachelor's Science MS Office, Counseling, Communication Mental Health Basics"
Bachelor's,Engineering,"Data Analysis, SQL",Google Data Analytics,60,Software Engineer,"Bachelor's Engineering Data Analysis, SQL Google Data Analytics"
Master's,Finance,"SQL, MS Office",Tally ERP,68,Research Scientist,"Master's Finance SQL, MS Office Tally ERP"
Bachelor's,Arts,Counseling,Digital Marketing,63,ML Engineer,Bachelor's Arts Counseling Digital Marketing
Matric,Psychology,"Python, Accounting",Mental Health Basics,68,Software Engineer,"Matric Psychology Python, Accounting Mental Health Basics"
Matric,Commerce,"Communication, Python",Google Data Analytics,77,Software Engineer,"Matric Commerce Communication, Python Google Data Analytics"
Master's,Arts,Python,CFA Level 1,93,Software Engineer,Master's Arts Python CFA Level 1
Matric,Commerce,Accounting,Tally ERP,69,Research Scientist,Matric Commerce Accounting Tally ERP
Bachelor's,Business,Financial Analysis,Digital Marketing,89,ML Engineer,Bachelor's Business Financial Analysis Digital Marketing
Master's,Commerce,"MS Office, Communication",CFA Level 1,62,Business Analyst,"Master's Commerce MS Office, Communication CFA Level 1"
Master's,Business,Accounting,Google Data Analytics,70,Business Analyst,Master's Business Accounting Google Data Analytics
PhD,Commerce,Financial Analysis,Mental Health Basics,68,Research Scientist,PhD Commerce Financial Analysis Mental Health Basics
Master's,Commerce,"Data Analysis, Communication, Machine Learning",Tally ERP,66,Business Analyst,"Master's Commerce Data Analysis, Communication, Machine Learning Tally ERP"
Master's,Computer Science,Python,Creative Writing,95,Research Scientist,Master's Computer Science Python Creative Writing
Intermediate,Arts,"Counseling, Python",Google Data Analytics,74,Business Analyst,"Intermediate Arts Counseling, Python Google Data Analytics"
Intermediate,Engineering,Machine Learning,AWS Certified,85,Business Analyst,Intermediate Engineering Machine Learning AWS Certified
PhD,Science,Python,Google Data Analytics,61,ML Engineer,PhD Science Python Google Data Analytics
PhD,Finance,"Machine Learning, Counseling, Data Analysis",Digital Marketing,67,Research Scientist,"PhD Finance Machine Learning, Counseling, Data Analysis Digital Marketing"
Bachelor's,Commerce,Financial Analysis,Mental Health Basics,91,ML Engineer,Bachelor's Commerce Financial Analysis Mental Health Basics
Master's,Commerce,"Data Analysis, Python, Accounting",Creative Writing,95,Business Analyst,"Master's Commerce Data Analysis, Python, Accounting Creative Writing"
Matric,Computer Science,"Counseling, Communication",AWS Certified,82,Business Analyst,"Matric Computer Science Counseling, Communication AWS Certified"
Master's,Commerce,MS Office,AWS Certified,72,ML Engineer,Master's Commerce MS Office AWS Certified
PhD,Computer Science,Communication,Digital Marketing,71,Software Engineer,PhD Computer Science Communication Digital Marketing
Bachelor's,Business,"Counseling, Accounting",CFA Level 1,95,Research Scientist,"Bachelor's Business Counseling, Accounting CFA Level 1"
Bachelor's,Finance,"Financial Analysis, Accounting",,66,Software Engineer,
Bachelor's,Science,"SQL, Marketing",AWS Certified,84,Business Analyst,"Bachelor's Science SQL, Marketing AWS Certified"
Bachelor's,Computer Science,SQL,Digital Marketing,72,ML Engineer,Bachelor's Computer Science SQL Digital Marketing
PhD,Business,Communication,Tally ERP,77,Software Engineer,PhD Business Communication Tally ERP
Intermediate,Science,"Counseling, Python",Google Data Analytics,86,Research Scientist,"Intermediate Science Counseling, Python Google Data Analytics"
Matric,Psychology,"Accounting, SQL, Financial Analysis",Digital Marketing,93,Research Scientist,"Matric Psychology Accounting, SQL, Financial Analysis Digital Marketing"
Matric,Computer Science,Accounting,Mental Health Basics,68,Business Analyst,Matric Computer Science Accounting Mental Health Basics
PhD,Business,Python,AWS Certified,90,Research Scientist,PhD Business Python AWS Certified
PhD,Science,"Counseling, Data Analysis, SQL",Creative Writing,61,Research Scientist,"PhD Science Counseling, Data Analysis, SQL Creative Writing"
Master's,Commerce,Financial Analysis,AWS Certified,84,Software Engineer,Master's Commerce Financial Analysis AWS Certified
Bachelor's,Commerce,Marketing,CFA Level 1,71,Research Scientist,Bachelor's Commerce Marketing CFA Level 1
Master's,Business,"SQL, Python, Counseling",CFA Level 1,81,Software Engineer,"Master's Business SQL, Python, Counseling CFA Level 1"
Master's,Arts,Financial Analysis,,82,Research Scientist,
Intermediate,Finance,"Machine Learning, MS Office, Financial Analysis",Digital Marketing,72,Research Scientist,"Intermediate Finance Machine Learning, MS Office, Financial Analysis Digital Marketing"
Intermediate,Psychology,"Data Analysis, Counseling, Python",Digital Marketing,65,ML Engineer,"Intermediate Psychology Data Analysis, Counseling, Python Digital Marketing"
Master's,Computer Science,"Communication, MS Office, Financial Analysis",Google Data Analytics,89,Software Engineer,"Master's Computer Science Communication, MS Office, Financial Analysis Google Data Analytics"
Master's,Science,Counseling,Tally ERP,68,Research Scientist,Master's Science Counseling Tally ERP
PhD,Commerce,Machine Learning,Tally ERP,80,ML Engineer,PhD Commerce Machine Learning Tally ERP
Bachelor's,Science,Data Analysis,CFA Level 1,83,Software Engineer,Bachelor's Science Data Analysis CFA Level 1
Master's,Computer Science,"Communication, Data Analysis",CFA Level 1,79,ML Engineer,"Master's Computer Science Communication, Data Analysis CFA Level 1"
Matric,Arts,"Machine Learning, MS Office, SQL",AWS Certified,88,Research Scientist,"Matric Arts Machine Learning, MS Office, SQL AWS Certified"
Master's,Commerce,MS Office,Mental Health Basics,85,Software Engineer,Master's Commerce MS Office Mental Health Basics
Master's,Computer Science,Counseling,Creative Writing,83,Research Scientist,Master's Computer Science Counseling Creative Writing
PhD,Science,MS Office,AWS Certified,75,ML Engineer,PhD Science MS Office AWS Certified
Master's,Psychology,Data Analysis,Tally ERP,83,Business Analyst,Master's Psychology Data Analysis Tally ERP
Master's,Science,Machine Learning,Mental Health Basics,93,ML Engineer,Master's Science Machine Learning Mental Health Basics
Master's,Arts,"SQL, Communication",AWS Certified,90,Software Engineer,"Master's Arts SQL, Communication AWS Certified"
PhD,Business,"Python, Machine Learning, Communication",AWS Certified,76,ML Engineer,"PhD Business Python, Machine Learning, Communication AWS Certified"
Matric,Psychology,"Data Analysis, MS Office, SQL",Creative Writing,65,Software Engineer,"Matric Psychology Data Analysis, MS Office, SQL Creative Writing"
Intermediate,Science,"Communication, Data Analysis, Machine Learning",Creative Writing,68,ML Engineer,"Intermediate Science Communication, Data Analysis, Machine Learning Creative Writing"
PhD,Finance,"Communication, SQL, Machine Learning",Tally ERP,90,ML Engineer,"PhD Finance Communication, SQL, Machine Learning Tally ERP"
PhD,Finance,Marketing,Google Data Analytics,61,Software Engineer,PhD Finance Marketing Google Data Analytics
Matric,Science,"Counseling, MS Office, Financial Analysis",Digital Marketing,94,Research Scientist,"Matric Science Counseling, MS Office, Financial Analysis Digital Marketing"
Master's,Science,"Financial Analysis, Machine Learning",AWS Certified,69,Software Engineer,"Master's Science Financial Analysis, Machine Learning AWS Certified"
Master's,Commerce,MS Office,AWS Certified,90,ML Engineer,Master's Commerce MS Office AWS Certified
Matric,Business,MS Office,Google Data Analytics,95,Research Scientist,Matric Business MS Office Google Data Analytics
Bachelor's,Computer Science,"Machine Learning, Communication",Mental Health Basics,91,Research Scientist,"Bachelor's Computer Science Machine Learning, Communication Mental Health Basics"
Bachelor's,Finance,"SQL, Financial Analysis",Mental Health Basics,62,ML Engineer,"Bachelor's Finance SQL, Financial Analysis Mental Health Basics"
Intermediate,Computer Science,"Communication, SQL, Accounting",CFA Level 1,74,Business Analyst,"Intermediate Computer Science Communication, SQL, Accounting CFA Level 1"
Bachelor's,Computer Science,MS Office,Mental Health Basics,71,Research Scientist,Bachelor's Computer Science MS Office Mental Health Basics
Master's,Engineering,"Communication, MS Office, Data Analysis",,60,Software Engineer,
Bachelor's,Business,"Data Analysis, Communication, Marketing",Tally ERP,86,ML Engineer,"Bachelor's Business Data Analysis, Communication, Marketing Tally ERP"
